stamp,x,y,theta
1778594550.2141356,-0.33753952383995056,1.1884387731552124,-2.5990100866832346
1778594552.154732,-0.33625847574060286,1.1885544065893043,-2.594344811886255
1778594554.0829666,-0.3364230695628846,1.1898622659096494,-2.5913805900629105
1778594556.0252388,-0.33849057194742393,1.196526637103897,-2.5861917952230797
1778594556.674373,-0.33875082301864556,1.2043105548991144,-2.7327616616259442
1778594557.3131223,-0.33369432463627324,1.2004938645407015,-2.906400432661319
1778594557.9641483,-0.3321644057418188,1.196130266861969,-3.088583255146773
1778594558.6026702,-0.33156733581141906,1.194556269405456,3.0209973785982522
1778594559.2539852,-0.33241481011239554,1.197024799817352,2.8488279736622073
1778594559.9045806,-0.32875257372957684,1.1912429647377651,2.6692171299883682
1778594560.5434186,-0.32519785074805846,1.18938380998945,2.4986410115796263
1778594561.1945324,-0.322260167380876,1.1922288118276154,2.3288010211122363
1778594561.8338604,-0.31718385942104493,1.1816425643712698,2.1517618234848754
1778594562.4841747,-0.31175282311581326,1.175904443772208,1.9698301417410933
1778594563.1230655,-0.30720708725982526,1.1708296693579168,1.793937678805111
1778594563.7735898,-0.302286280218275,1.1656507832409941,1.6152358085396854
1778594564.4122665,-0.30013961448416543,1.1596137596651668,1.4422658596373577
1778594565.063313,-0.30144708300435175,1.159482041214089,1.2694848655985764
1778594565.714212,-0.305406086647997,1.1646899359997425,1.1050390353487365
1778594566.3530595,-0.31077275189269693,1.167214525870948,0.943349329650226
1778594567.00374,-0.3162709635707084,1.1688062788862081,0.7786033270846862
1778594567.6425188,-0.3203646779217791,1.169604583605235,0.6127168964944539
1778594568.293828,-0.32231507247576585,1.1706483886261883,0.4456274973612546
1778594568.9320567,-0.3239351022262064,1.1733940519883446,0.27810625915823356
1778594569.583271,-0.3323692153368291,1.1732299094025875,0.10665876714829417
1778594570.2339296,-0.33062818198124244,1.1734898936988571,-0.06464676237514108
1778594570.872749,-0.3346814800132396,1.1752571689236255,-0.23160099104058893
1778594571.5239885,-0.3372442693968729,1.1769074941419249,-0.40213344662920897
1778594572.1630154,-0.3396460168229804,1.177530268236021,-0.5714363154944974
1778594572.8135428,-0.341072079915962,1.178355218826869,-0.7434952120165401
1778594573.4525013,-0.34154844616015406,1.179066136771959,-0.9122216093938373
1778594574.1027658,-0.3421506059142849,1.179822317827466,-1.083673244416358
1778594574.741823,-0.34189672261944715,1.1807671356768485,-1.251062848750006
1778594575.3928084,-0.3415124220945233,1.1816677246196081,-1.4232133352387917
1778594576.0311737,-0.3412463809291482,1.1834640192827532,-1.589417918918923
1778594576.682496,-0.3402824654785044,1.1841534777627245,-1.7611346349273596
1778594577.33317,-0.33982538016172953,1.1852246838193912,-1.9326846811228602
1778594577.9717617,-0.3396234290301077,1.1861589906016665,-2.1039291935049547
1778594578.6230543,-0.338886153967351,1.1868567000162347,-2.2731987587477525
1778594579.2616594,-0.3373587873195476,1.186039817044995,-2.4415159090148495
1778594579.9124687,-0.33429747455812514,1.1836636749880178,-2.6103092216091333
1778594580.5537121,-0.33324065378039114,1.18744687362181,-2.7783757742180906
1778594581.2019823,-0.33061547293324506,1.1875381853451552,-2.947717005511199
1778594581.840539,-0.33130652870794336,1.1902687641411447,-3.1239593526432983
1778594582.4919078,-0.3304042954930534,1.190289802954259,2.987608435722387
1778594583.130287,-0.32882774849599194,1.1880598941958185,2.8154413666261267
1778594583.7812483,-0.32738694033980104,1.1824553151861927,2.6412566191322076
1778594584.4233072,-0.3273003064622251,1.1746004308508338,2.4668796758589764
1778594585.0708969,-0.3195641176966748,1.1764849824804045,2.2892585382878723
1778594585.7094746,-0.3136372873715197,1.1737329400084953,2.1131497112895667
1778594586.360485,-0.3091749569696568,1.17047331413653,1.934792618960605
1778594586.9991894,-0.30664004869258643,1.16785433523332,1.761852427953723
1778594587.5151665,-0.3049522400657368,1.1656843919798106,1.6252391848866716
1778594588.203935,-0.30531578326310665,1.1653460370985358,1.4444692223958246
1778594588.9397185,-0.30801618510623824,1.1671665901257977,1.2618819652859958
1778594589.5788374,-0.3102272562518764,1.1698572814680561,1.0922088539985524
1778594590.22943,-0.31524238175405345,1.1719872341426465,0.9248549724941867
